Latitude,Longitude,Altitude
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.60
62.474674,6.236548,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
62.474674,6.236547,43.70
